# t alphaD area se kMix epsMix kC kD epsC epsD ReLambdaC ReLambdaD uAvgCx uAvgCy uAvgCz uAvgDx uAvgDy uAvgDz
1.1120100000000001e+01 6.5732109999999996e-02 2.4428530000000001e+02 3.3669129999999999e-02 9.4089060000000002e-01 4.0409309999999998e-01 1.0000880000000001e+00 9.9496510000000005e-01 3.9685710000000002e-01 5.0694039999999996e-01 9.3291169999999994e+01 8.2119949999999999e+00 2.5032539999999999e-02 9.8283639999999992e-03 -2.4385230000000001e-02 2.8495610000000001e-02 -2.2782919999999999e-03 -1.1407360000000000e-01
1.1130100000000001e+01 6.5731780000000004e-02 2.4432669999999999e+02 3.3674839999999998e-02 9.4087580000000004e-01 4.0414699999999998e-01 1.0000770000000001e+00 9.9434040000000001e-01 3.9693919999999999e-01 5.0659390000000004e-01 9.3280429999999996e+01 8.2096440000000008e+00 2.5044179999999999e-02 9.8050770000000006e-03 -2.4376040000000002e-02 2.7891670000000000e-02 -1.6709950000000000e-03 -1.1310969999999999e-01
1.1140100000000000e+01 6.5731449999999997e-02 2.4436920000000001e+02 3.3680689999999999e-02 9.4085750000000001e-01 4.0418660000000001e-01 1.0000599999999999e+00 9.9388460000000001e-01 3.9700170000000001e-01 5.0630810000000004e-01 9.3271519999999995e+01 8.2081970000000002e+00 2.5062299999999999e-02 9.7806249999999994e-03 -2.4357899999999998e-02 2.7207350000000002e-02 -1.0398750000000000e-03 -1.1226480000000000e-01
1.1150100000000000e+01 6.5731120000000004e-02 2.4437750000000000e+02 3.3681830000000003e-02 9.4084290000000004e-01 4.0422130000000001e-01 1.0000469999999999e+00 9.9351940000000005e-01 3.9705240000000003e-01 5.0611700000000004e-01 9.3264330000000001e+01 8.2067300000000003e+00 2.5084789999999999e-02 9.7689340000000000e-03 -2.4335289999999999e-02 2.6503940000000000e-02 -6.0220789999999998e-04 -1.1145869999999999e-01
1.1160100000000000e+01 6.5730789999999997e-02 2.4442760000000001e+02 3.3688750000000003e-02 9.4083159999999999e-01 4.0427849999999999e-01 1.0000359999999999e+00 9.9321979999999999e-01 3.9711930000000001e-01 5.0603560000000003e-01 9.3255510000000001e+01 8.2049149999999997e+00 2.5105650000000000e-02 9.7648179999999998e-03 -2.4312390000000000e-02 2.5803610000000001e-02 -2.8069469999999997e-04 -1.1062490000000000e-01
1.1170100000000000e+01 6.5730449999999996e-02 2.4449240000000000e+02 3.3697669999999999e-02 9.4082869999999996e-01 4.0430939999999999e-01 1.0000359999999999e+00 9.9277899999999997e-01 3.9716679999999999e-01 5.0583190000000000e-01 9.3249899999999997e+01 8.2029250000000005e+00 2.5122640000000002e-02 9.7577710000000002e-03 -2.4304309999999999e-02 2.5142609999999999e-02 9.8123389999999996e-05 -1.0955130000000000e-01
1.1180099999999999e+01 6.5730120000000003e-02 2.4460830000000001e+02 3.3713649999999998e-02 9.4082929999999998e-01 4.0435559999999998e-01 1.0000400000000000e+00 9.9231440000000004e-01 3.9720640000000002e-01 5.0597170000000002e-01 9.3245590000000007e+01 8.1979530000000000e+00 2.5125419999999999e-02 9.7484779999999997e-03 -2.4288230000000001e-02 2.4684640000000001e-02 5.2628739999999999e-04 -1.0857899999999999e-01
1.1190099999999999e+01 6.5729780000000002e-02 2.4467769999999999e+02 3.3723219999999998e-02 9.4082560000000004e-01 4.0441559999999999e-01 1.0000370000000001e+00 9.9202539999999995e-01 3.9725539999999998e-01 5.0618989999999997e-01 9.3239630000000005e+01 8.1937990000000003e+00 2.5123150000000000e-02 9.7292650000000008e-03 -2.4280550000000001e-02 2.4325540000000000e-02 1.0774650000000001e-03 -1.0747580000000000e-01
1.1200100000000001e+01 6.5729440000000000e-02 2.4475290000000001e+02 3.3733579999999999e-02 9.4082829999999995e-01 4.0447780000000000e-01 1.0000420000000001e+00 9.9168889999999998e-01 3.9730569999999998e-01 5.0642169999999997e-01 9.3234189999999998e+01 8.1891449999999999e+00 2.5130730000000000e-02 9.7052300000000005e-03 -2.4270310000000000e-02 2.3861910000000000e-02 1.6722770000000000e-03 -1.0636170000000000e-01
1.1210100000000001e+01 6.5729099999999999e-02 2.4485030000000000e+02 3.3746999999999999e-02 9.4083030000000001e-01 4.0454000000000001e-01 1.0000460000000000e+00 9.9143230000000004e-01 3.9735640000000000e-01 5.0664659999999995e-01 9.3228570000000005e+01 8.1852090000000004e+00 2.5146720000000001e-02 9.6854030000000004e-03 -2.4268530000000000e-02 2.3321430000000001e-02 2.1607610000000002e-03 -1.0508290000000001e-01
1.1220100000000000e+01 6.5728759999999997e-02 2.4491659999999999e+02 3.3756130000000002e-02 9.4083030000000001e-01 4.0458559999999999e-01 1.0000460000000000e+00 9.9133170000000004e-01 3.9738180000000001e-01 5.0698100000000001e-01 9.3225629999999995e+01 8.1816790000000008e+00 2.5165509999999999e-02 9.6648810000000002e-03 -2.4271000000000001e-02 2.2820880000000002e-02 2.6136459999999999e-03 -1.0369290000000000e-01
1.1230100000000000e+01 6.5728419999999996e-02 2.4499510000000001e+02 3.3766949999999997e-02 9.4082849999999996e-01 4.0462959999999998e-01 1.0000439999999999e+00 9.9132549999999997e-01 3.9740150000000002e-01 5.0737040000000000e-01 9.3223119999999994e+01 8.1784870000000005e+00 2.5183750000000001e-02 9.6473910000000000e-03 -2.4266190000000000e-02 2.2378599999999998e-02 2.9801150000000002e-03 -1.0235660000000001e-01
1.1240100000000000e+01 6.5728070000000000e-02 2.4503930000000000e+02 3.3773049999999999e-02 9.4083499999999998e-01 4.0466900000000000e-01 1.0000510000000000e+00 9.9125730000000001e-01 3.9740120000000001e-01 5.0797499999999995e-01 9.3223810000000000e+01 8.1730560000000008e+00 2.5192679999999999e-02 9.6445909999999992e-03 -2.4263540000000000e-02 2.2137279999999999e-02 3.0779959999999999e-03 -1.0096590000000000e-01
1.1250100000000000e+01 6.5727729999999998e-02 2.4507780000000000e+02 3.3778349999999999e-02 9.4084420000000002e-01 4.0473819999999999e-01 1.0000610000000001e+00 9.9117569999999999e-01 3.9741830000000000e-01 5.0878500000000004e-01 9.3222750000000005e+01 8.1658749999999998e+00 2.5200910000000000e-02 9.6386430000000006e-03 -2.4262960000000000e-02 2.1969969999999998e-02 3.1505679999999999e-03 -9.9514950000000005e-02
1.1260100000000000e+01 6.5727389999999997e-02 2.4505609999999999e+02 3.3775359999999997e-02 9.4084889999999999e-01 4.0476099999999998e-01 1.0000659999999999e+00 9.9113779999999996e-01 3.9738920000000000e-01 5.0954639999999995e-01 9.3226630000000000e+01 8.1594610000000003e+00 2.5211470000000000e-02 9.6306719999999998e-03 -2.4255010000000000e-02 2.1797810000000001e-02 3.1739490000000001e-03 -9.8133260000000000e-02
1.1270099999999999e+01 6.5727040000000000e-02 2.4506569999999999e+02 3.3776680000000003e-02 9.4085039999999998e-01 4.0474769999999999e-01 1.0000670000000000e+00 9.9117029999999995e-01 3.9733489999999999e-01 5.1011629999999997e-01 9.3233080000000001e+01 8.1551679999999998e+00 2.5224670000000001e-02 9.6131259999999996e-03 -2.4260930000000000e-02 2.1638080000000001e-02 3.2390219999999998e-03 -9.6552289999999999e-02
1.1280099999999999e+01 6.5726699999999999e-02 2.4506469999999999e+02 3.3776540000000001e-02 9.4086250000000005e-01 4.0468310000000002e-01 1.0000810000000000e+00 9.9097510000000000e-01 3.9724619999999999e-01 5.1039599999999996e-01 9.3244810000000001e+01 8.1513279999999995e+00 2.5236530000000000e-02 9.5953089999999998e-03 -2.4267540000000001e-02 2.1528930000000002e-02 3.2049029999999998e-03 -9.4921439999999996e-02
1.1290100000000001e+01 6.5726359999999998e-02 2.4507669999999999e+02 3.3778210000000003e-02 9.4086890000000001e-01 4.0460710000000000e-01 1.0000890000000000e+00 9.9081710000000001e-01 3.9714850000000002e-01 5.1062770000000002e-01 9.3256990000000002e+01 8.1481790000000007e+00 2.5249919999999999e-02 9.5773769999999998e-03 -2.4269990000000002e-02 2.1472280000000000e-02 3.0724080000000000e-03 -9.3333799999999995e-02
1.1300100000000000e+01 6.5726019999999996e-02 2.4509010000000001e+02 3.3780049999999999e-02 9.4086329999999996e-01 4.0451690000000001e-01 1.0000819999999999e+00 9.9088449999999995e-01 3.9703189999999999e-01 5.1091430000000004e-01 9.3270039999999995e+01 8.1464479999999995e+00 2.5252779999999999e-02 9.5497299999999993e-03 -2.4277119999999999e-02 2.1615539999999999e-02 2.9422189999999998e-03 -9.1672790000000004e-02
1.1310100000000000e+01 6.5725670000000000e-02 2.4514120000000000e+02 3.3787089999999999e-02 9.4086490000000000e-01 4.0443200000000001e-01 1.0000830000000001e+00 9.9087769999999997e-01 3.9691070000000001e-01 5.1134530000000000e-01 9.3284419999999997e+01 8.1429569999999991e+00 2.5267109999999999e-02 9.5275700000000008e-03 -2.4285589999999999e-02 2.1628100000000001e-02 2.6017929999999998e-03 -9.0000399999999994e-02
1.1320100000000000e+01 6.5725320000000004e-02 2.4516600000000000e+02 3.3790519999999998e-02 9.4087240000000005e-01 4.0432520000000000e-01 1.0000920000000000e+00 9.9080179999999995e-01 3.9678110000000000e-01 5.1156460000000004e-01 9.3300420000000003e+01 8.1405879999999993e+00 2.5275380000000000e-02 9.5068529999999991e-03 -2.4281370000000000e-02 2.1760820000000000e-02 2.1542850000000001e-03 -8.8526690000000005e-02
1.1330100000000000e+01 6.5724969999999994e-02 2.4521449999999999e+02 3.3797199999999999e-02 9.4087140000000002e-01 4.0423009999999998e-01 1.0000890000000000e+00 9.9090619999999996e-01 3.9665929999999999e-01 5.1184830000000003e-01 9.3314539999999994e+01 8.1391899999999993e+00 2.5281560000000002e-02 9.4947399999999998e-03 -2.4278109999999999e-02 2.1954499999999998e-02 1.4591900000000000e-03 -8.7101319999999996e-02
